Date,Open,High,Low,Close,Adj Close,Volume
16-12-2015,119.800003,123,118.089996,122.639999,122.639999,13181000
17-12-2015,123.970001,126.349998,122.419998,122.510002,122.510002,17284900
18-12-2015,120.849998,122.190002,117.919998,118.019997,118.019997,17948100
21-12-2015,119.510002,119.589996,115.660004,116.629997,116.629997,11670000
22-12-2015,117.300003,117.43,114.860001,116.239998,116.239998,9689000
23-12-2015,116.910004,118.559998,115.779999,118.160004,118.160004,9324300
24-12-2015,118.220001,118.800003,117.300003,117.330002,117.330002,3531300
28-12-2015,117.260002,117.349998,113.849998,117.110001,117.110001,8424300
29-12-2015,118.190002,119.599998,116.919998,119.120003,119.120003,8159200
30-12-2015,118.949997,119.019997,116.43,116.709999,116.709999,8149700
31-12-2015,116.209999,117.459999,114.279999,114.379997,114.379997,9273000
04-01-2016,109,110,105.209999,109.959999,109.959999,20794800
05-01-2016,110.449997,110.580002,105.849998,107.660004,107.660004,17664600
06-01-2016,105.290001,117.910004,104.959999,117.68,117.68,33045700
07-01-2016,116.360001,122.18,112.290001,114.559998,114.559998,33636700
08-01-2016,116.330002,117.720001,111.099998,111.389999,111.389999,18067100
11-01-2016,112.129997,116.790001,111.199997,114.970001,114.970001,21920400
12-01-2016,116.110001,117.779999,115.080002,116.580002,116.580002,15133500
13-01-2016,114.43,114.480003,104.529999,106.559998,106.559998,24921600
14-01-2016,105.650002,109.25,101.209999,107.059998,107.059998,23664800
15-01-2016,102.43,105.5,101.720001,104.040001,104.040001,19775100
19-01-2016,106.57,110.139999,105.550003,107.889999,107.889999,35722800
20-01-2016,108.910004,109.989998,97.050003,107.739998,107.739998,53009400
21-01-2016,108.32,108.510002,102.099998,102.349998,102.349998,31027500
22-01-2016,104.720001,104.989998,99.220001,100.720001,100.720001,26821800
25-01-2016,99.779999,102.68,99,99.120003,99.120003,20321100
26-01-2016,99.739998,100.550003,94.849998,97.830002,97.830002,22083900
27-01-2016,96.610001,97.849998,90.589996,91.150002,91.150002,25556200
28-01-2016,93.839996,95.25,90.110001,94.410004,94.410004,24562300
29-01-2016,92,94.389999,90.629997,91.839996,91.839996,20463900
01-02-2016,91.790001,97.18,91.300003,94.089996,94.089996,19684500
02-02-2016,95.540001,96.650002,90.730003,91.489998,91.489998,21906500
03-02-2016,92.410004,92.690002,86.139999,90.739998,90.739998,27466000
04-02-2016,89.5,91.25,86.540001,89.709999,89.709999,19108600
05-02-2016,88.230003,88.949997,81.860001,82.790001,82.790001,25929300
08-02-2016,80.57,84.699997,79.949997,83.32,83.32,25035600
09-02-2016,81.75,88.400002,81.550003,86.129997,86.129997,25892900
10-02-2016,89,92.209999,87.419998,88.449997,88.449997,23146500
11-02-2016,87.419998,88.389999,82.910004,86.349998,86.349998,21820300
12-02-2016,86.639999,89.720001,85.260002,87.400002,87.400002,19067700
16-02-2016,89,90.139999,87.540001,89.050003,89.050003,16356600
17-02-2016,90.129997,94.769997,89.639999,94.760002,94.760002,18323800
18-02-2016,94.800003,94.900002,90.309998,90.489998,90.489998,17695300
19-02-2016,89.980003,91.400002,88.029999,89.230003,89.230003,14259200
22-02-2016,90.75,93.110001,88.300003,91.93,91.93,16321800
23-02-2016,91.400002,92.489998,89.050003,89.120003,89.120003,12744400
24-02-2016,88.5,91.760002,86.699997,91.610001,91.610001,15972800
25-02-2016,91.080002,94.809998,90.209999,94.529999,94.529999,17898800
26-02-2016,95.300003,97.480003,94.25,94.790001,94.790001,16975200
29-02-2016,94.809998,97.199997,93.339996,93.410004,93.410004,13663100
01-03-2016,94.580002,99.160004,93.610001,98.300003,98.300003,17048800
02-03-2016,98.010002,99.480003,95.900002,97.610001,97.610001,19102800
03-03-2016,97.830002,98.349998,95.389999,97.93,97.93,15320900
04-03-2016,98.760002,102.220001,98.32,101.580002,101.580002,23414600
07-03-2016,101,101.790001,95.25,95.489998,95.489998,23855200
08-03-2016,95,98.279999,94.5,96.230003,96.230003,14797000
09-03-2016,96.82,98.370003,95,98,98,12298700
10-03-2016,98.18,99.739998,95.449997,97.360001,97.360001,17002100
11-03-2016,99.510002,99.599998,96.050003,97.660004,97.660004,15114300
14-03-2016,97.199997,99.419998,97.169998,98.129997,98.129997,11251900
15-03-2016,97.870003,98.510002,96.43,97.860001,97.860001,9691800
16-03-2016,97.529999,99.730003,97.5,99.349998,99.349998,12630500
17-03-2016,99.050003,101.389999,99,99.720001,99.720001,13825000
18-03-2016,100.5,102.410004,100.010002,101.120003,101.120003,15453500
21-03-2016,101.150002,102.099998,99.5,101.059998,101.059998,9578500
22-03-2016,100.480003,101.519997,99.199997,99.839996,99.839996,9069900
23-03-2016,99.75,100.389999,98.809998,99.589996,99.589996,8313500
24-03-2016,98.639999,98.849998,97.07,98.360001,98.360001,10671100
28-03-2016,98.339996,101.440002,97.82,101.209999,101.209999,12432200
29-03-2016,101.080002,104.330002,101,104.129997,104.129997,16008900
30-03-2016,104.650002,104.910004,101.480003,102.190002,102.190002,14705000
31-03-2016,102.43,103.529999,101.050003,102.230003,102.230003,9747500
